id,label,text,len_text
757,nao_argumento,"eles discordam radicalmente sobre como aplicar o princípio de que a vida humana é valiosa, mas ambos assumem e apelam ao mesmo princípio. ",23
758,argumento,"nos estados unidos, grupos pró-vida favorecem maiores restrições legais ao aborto, ou mesmo a proibição total do aborto. ",18
759,nao_argumento,setenta por cento dos EUA abortos são realizados em mulheres 'cristãs'. ,11
760,nao_argumento,queremos ser respeitados pelo trabalho que fazemos como mães. ,9
761,argumento,"(também vale a pena notar que muitas mulheres podem receber abortos a termo mais cedo depois de descobrirem que seu filho tem síndrome de down, uma vez que estão disponíveis testes iniciais que podem ser usados ​​no primeiro trimestre, por isso é muito menos relevante para o debate sobre o aborto a longo prazo. do que muitos pró-lifers sugerem.) ",59
762,argumento,"isso prejudica até a nossa fuga mais fraca e menos honesta: fingir que nem sabemos o que é uma maçã, apenas temos uma desculpa para alegar que não sabemos o que é um aborto. ",34
763,nao_argumento,embora não tenha havido nenhum caso contra médicos que realizasse tal aborto em ni. ,14
764,argumento,esse conceito é fundamental para as mulheres. ,7
765,nao_argumento,"o coração de jacob afundou quando a viu mudar seu voto de ""não"" para ""sim - abortos de 20 semanas deveriam ser legais. "" ",24
766,nao_argumento,Pró: reivindicar direitos ao aborto tem duas principais originalidades. ,9
767,argumento,alguns abortos acontecem por causa das pressões sociais. ,8
768,argumento,"os fatos científicos são claros demais para negar, e não faz sentido legal negar o princípio jurídico, pois, se a lei não deve defender o direito à vida, o que ela deve fazer? ",33
769,nao_argumento,todos os seus servos defenderam o quinto dia ou receberam imunidade e tiveram seus computadores incriminadores destruídos pelo fbi. ,19
770,nao_argumento,não há argumento sensato para isso - é como se tirássemos números de um chapéu ou algo assim. ,18
771,argumento,"apenas uma pequena porcentagem dos médicos realiza abortos, mas a maioria apóia o aborto legal no interesse de um bom atendimento médico. ",22
772,argumento,"além disso, as mulheres seriam novamente forçadas a violar a lei para receber assistência médica e, mais uma vez, sua dignidade seria perdida no processo. ",25
773,nao_argumento,"isso é o que a sociedade, os bioeticistas e a lei têm que aceitar. quando a lei concede os mesmos direitos humanos que qualquer outra pessoa, a um embrião ou feto sob o direito internacional, então eu, por um lado, serei contra o aborto como a lei está, exceto nos casos mais extremos, onde uma ou ambas as 'pessoas' estão em perigo iminente de risco extremo à saúde ou morte. ",70
774,nao_argumento,"no entanto, alguns estudos descobriram que a radiação dos telefones celulares pode aumentar a chance de desenvolver câncer e outros problemas de saúde. ",23
775,nao_argumento,"as pessoas justificam seus pontos de vista sobre o aborto argumentando contra a humanidade dos nascituros, por isso ainda precisamos conversar sobre isso, mas não acho que seja a força motriz por trás da razão pela qual a maioria das pessoas é a favor da escolha. ",46
776,nao_argumento,"ah, mas esse é o problema, não é? ",8
777,argumento,"no caso 2, onde o feto é uma pessoa e você não sabe disso, aborto é homicídio culposo. ",18
778,nao_argumento,"há um debate significativo sobre quando, durante a gravidez, um feto pode sentir dor. ",14
779,nao_argumento,"as semelhanças processuais entre os procedimentos d & e e d & x contribuíram para a preocupação de que a linguagem das proibições de aborto por nascimento parcial possa proibir os dois métodos de aborto. "" ",36
780,nao_argumento,aviso: é extremamente gráfico. ,4
781,nao_argumento,trunfo: evoluí em muitas questões ao longo dos anos. ,9
782,nao_argumento,"sotomayor não ficou impressionada, brincando dizendo que, embora ela não seja muito boa em matemática, isso lhe pareceu uma pequena porcentagem. ",21
783,nao_argumento,mostrei suas fotos de desenvolvimento fetal no folheto da eri. ,10
784,nao_argumento,você poderia me ajudar a entender onde é a linha para você e por quê? ,15
785,argumento,o senso comum e a moral tradicionais dizem que todos os seres humanos são pessoas e têm direitos. ,18
786,nao_argumento,"portanto, não podemos dizer que motoristas bêbados causam mortes por dirigir alcoolizado. ",12
787,argumento,os contribuintes não precisam pagar pelo que acreditam ser imoral. ,10
788,nao_argumento,não hesitamos em suprimir ou desativar processos 'normais' para a saúde geral. ,12
789,argumento,estar grávida pode ser muito difícil para algumas mulheres e até levar ao suicídio de uma mulher com uma gravidez indesejada. ,21
790,argumento,"para as três primeiras categorias, o relatório pode indicar problemas significativos na falta de acesso: “a grande maioria dos pacientes do segundo trimestre preferiria ter feito o aborto mais cedo, e nossos resultados sugerem que mulheres negras e pessoas com menos escolaridade beneficiar do aumento do acesso a serviços de aborto precoce. "" ",53
791,argumento,"de acordo com o direito à vida da mulher, também é seu direito de mitigar o risco para sua pessoa. ",20
792,nao_argumento,"por um lado, as várias alterações de personalidade, tornando um óvulo fertilizado igual a uma mulher, falharam principalmente; por outro, os representantes do movimento de linha-dura e nascimento forçado pareciam realizar muitos dias e eleições. ",35
793,nao_argumento,"essa incerteza causa uma enorme tensão, uma enorme ansiedade social - o que karl popper corretamente chamou de tensão da civilização. ",21
794,argumento,"isso levou, do lado pró-vida, a uma impressão às vezes predominante de que o aborto por defeitos fetais nunca é necessário, mas sim como uma desculpa para mulheres ""preguiçosas"" se livrarem de crianças que não atendem aos seus ideais. ",39
795,nao_argumento,mas tornando o aborto ilegal? ,5
796,nao_argumento,"nível de desenvolvimento: verdade, embriões e fetos são menos desenvolvidos do que os adultos em que se tornarão um dia. ",20
797,argumento,aborto é basicamente assassinato! ,4
798,nao_argumento,a mídia ousou permitir que ela fosse exibida? ,8
799,nao_argumento,"e, no entanto, essas coisas estão constantemente presentes no mundo moderno como historicamente, porque são responsáveis ​​por circunstâncias que validam um ato que pode ser moralmente errado. ",27
800,nao_argumento,"ao contrário, argumentos de igualdade têm como premissa a visão de que as restrições ao aborto podem ser sobre mulheres e não-nascidos - ambos e. ",25
801,argumento,a maioria acha que a decisão do aborto deve ser deixada para uma mulher e seu médico. ,17
802,nao_argumento,"pode haver boas razões para não criminalizar as mulheres que praticam o aborto, mesmo que a ação seja moralmente equivalente ao assassinato. ",22
803,nao_argumento,"a constituição protege vários direitos que não são mencionados especificamente, mas que são derivados, por meio de interpretação suprema do tribunal, de outros direitos. ",24
804,nao_argumento,(devo acrescentar que foi o hospital que notificou a imprensa - a diocese enviou o sr. ,16
805,nao_argumento,"para um argumento de que ""igual estatura de cidadania"" é central para a visão constitucional da justiça ginsburg, veja geralmente neil s. siegel, ""estatura igual à cidadania"": a visão constitucional da justiça ginsburg, 43 eng. ",35
806,argumento,"mas claramente, a eutanásia involuntária está errada; claramente, há uma diferença entre impor poder a outro e fazer livremente um contrato com outro. ",23
807,nao_argumento,"Jesus nos chama para um lugar diferente, distinto da lei, mas um cumprimento que está além da lei. ",18
808,nao_argumento,muitas pessoas consideram isso uma clínica de aborto. ,8
809,argumento,um feto nos estágios iniciais de desenvolvimento carece do sistema nervoso e do cérebro desenvolvidos para sentir dor ou até mesmo estar ciente de seus arredores. ,26
810,nao_argumento,"nunca mais engravidei. "" ",4
811,argumento,"no entanto, as mulheres agora precisam viver com o sentimento de abandonar o filho pelo resto da vida. ",18
812,nao_argumento,se você acredita em deuses deuses. ,6
813,nao_argumento,"no mês passado, eri teve nosso evento de divulgação mais recente na Aquinas College, em Michigan. ",16
814,nao_argumento,"o ato de controle orçamentário marca um passo positivo na obtenção do controle dos gastos do governo, mas ainda resta muito trabalho. ",22
815,nao_argumento,eles pegam uma abstração e a tornam concreta. ,8
816,nao_argumento,quase todo mundo não consegue lidar com um fato como esse. ,11
817,nao_argumento,"em vez de atribuir idades arbitrárias para o exercício de prerrogativas de adultos, devemos reconhecer as pessoas como adultos quando elas assumem a responsabilidade por suas vidas. ",27
818,nao_argumento,"todos nós, que temos ou queremos filhos, os imaginamos crescendo como médicos, senadores, astros do esporte ou o que for. ",20
819,nao_argumento,"adequadamente definido, o feminismo é uma filosofia que abraça os direitos básicos de todos os seres humanos, sem exceção - sem considerar raça, religião, sexo, tamanho, idade, localização, deficiência ou paternidade. ",31
820,argumento,essa atitude vingativa e hipócrita decorre da crença de que o sexo é ruim e deve ser punido. ,18
821,nao_argumento,"alguns críticos se referem pejorativamente a algumas das decisões de processo do tribunal como reconhecendo direitos constitucionais ""não enumerados"". ",19
822,nao_argumento,"esse é provavelmente um ponto controverso, mas é preciso dizer. ",10
823,argumento,apenas 46 por cento disseram que preferiam dificultar o aborto. ,10
824,nao_argumento,o que é um argumento extremista? ,6
825,nao_argumento,a confiança em nossa democracia de livre mercado constituiu nosso vínculo moral com o resto do mundo. ,17
826,nao_argumento,"Ouvi dizer que não tratamos nenhuma outra espécie da maneira tradicional - ou seja, não atribuímos direitos iguais a todos os ratos. ",22
827,nao_argumento,quaisquer decisões judiciais relacionadas ao aborto trazem regularmente manifestantes de ambos os lados. ,13
828,nao_argumento,"este ensaio, adaptado do discurso de referência ""o caso feminista contra o aborto"", faz parte da cobertura americana de questões relacionadas ao sínodo dos bispos na família. ",27
829,nao_argumento,você não pode alegar ignorância. ,5
830,argumento,"Da mesma forma, estou dizendo, se você insiste que o aborto é o assassinato de crianças por suas próprias mães e quer criminalizar o aborto, deve tratar as mulheres que o fazem como assassinas. ",34
831,nao_argumento,use o código de cupom carm6. ,6
832,argumento,negar a uma mulher a opção de abortar uma gravidez quando sua própria vida está em risco é semelhante a forçá-la a jogar roleta russa. ,25
833,nao_argumento,um painel de celebridades proeminentes do cinema e líderes da educação julgou vídeos de estudantes de 1 a 2 minutos sobre o tema 'por que amo procon.org' e seus sete vencedores sortudos no concurso nacional de vídeos para estudantes do procon.org foram anunciados. ,43
834,nao_argumento,'Eu estava andando pelo centro de Varsóvia por grande parte do dia e há muitos cafés e restaurantes fechados porque todos os funcionários foram aos protestos. ,26
835,nao_argumento,"embora existam duas cláusulas de devido processo legal na constituição, esses intérpretes consideram decisões como roe, casey e lawrence, que reconhecem direitos substantivos ao invés de procedimentais de devido processo legal, como falta de base no texto da constituição e, portanto, reconhecem “direitos não enumerados . "" ",47
836,argumento,exemplo: como você se sentiria se sua mãe lhe abortasse? ,10
837,nao_argumento,ele tinha conhecimento; ele não alegou ter sabedoria. ,8
838,nao_argumento,"questões pró / contras e questões de intensidade variavam de pesquisador a pesquisador e, às vezes, de ano para ano. ",20
839,nao_argumento,"é atroz que as pessoas precisem de um plano de como ser um ser humano ""bom"". ",16
840,nao_argumento,"Da mesma forma, é seu direito, independentemente de eu discordar ou não de você, formar suas próprias opiniões sobre esses argumentos. ",21
841,argumento,questões sociais: o aborto deve ser limitado. ,7
842,argumento,isso deve ser deixado para o próprio deus. ,8
843,argumento,"se o aborto é realmente moralmente equivalente ao assassinato, por que os responsáveis ​​moralmente não deveriam ser punidos como assassinos? ",20
844,argumento,"é hipócrita, na minha opinião, defensores pró-vida alegarem que o aborto é assassinato e ainda insistem que as mulheres não devem ser responsabilizadas legalmente pela compra de abortos. ",28
845,nao_argumento,"em 1994, todos os estados americanos tinham taxas de obesidade iguais ou inferiores a 19%. ",15
846,nao_argumento,"olhando para trás, acredito que todas as horas de formação catequética em minha jovem vida estavam levando a essa decisão de mudança de vida. ",24
847,argumento,"mais pungentemente, ter um filho em situação de pobreza ou já sobrecarregado de cuidar de outras crianças, ou talvez enfrentar riscos à saúde, cheira a uma injustiça conhecida apenas pelas mulheres. ",31
848,argumento,"se você está preocupado com a discriminação, é melhor ter uma chance de ter uma vida boa com a possibilidade de ter uma vida ruim do que não ter chance de ter uma vida boa. ",35
849,nao_argumento,"observe que isso não é um argumento, mas uma afirmação arbitrária. ",11
850,nao_argumento,fibrose cística e doença de Huntington se enquadram nessa categoria e opções de teste pré-natal estão disponíveis para ambos. ,19
851,argumento,pode até afetar a vida social de uma mulher que consegue esse procedimento. ,13
852,argumento,"o slogan ""meu corpo, minha escolha"" revela um trágico mal-entendido do que está ocorrendo dentro do útero. ",17
853,nao_argumento,"e, é claro, as pessoas têm todo o direito de ter qualquer opinião de que gostem. ",16
854,argumento,"o aborto não é apenas tirar um ""feto"", é simplesmente acabar com a vida de um ser humano. ",18
855,nao_argumento,pesquisas de opinião mostraram atitudes ambivalentes entre muitos polos. ,9
856,argumento,inimigos do aborto perderam completamente a mensagem de seuss. até crianças reconhecem que humano e pessoa são dois conceitos diferentes. ,20
857,nao_argumento,um estudante da universidade de virginia fundou um clube de babá. ,11
858,argumento,"infelizmente, e ironicamente, a legislação anti-aborto em vários estados, com o objetivo de reduzir o acesso, fechando as clínicas de aborto com restrições desnecessárias ou exigindo obstáculos extras para as mulheres obterem abortos (como atraso obrigatório, ultrassom e / ou aconselhamento), tem um efeito contraproducente. ",45
859,argumento,"a perda de vidas é a maior perda possível que alguém pode sofrer, porque nos priva de todas as experiências e prazeres que de outra forma teriam sido parte de nossos futuros, que agora valorizamos ou que valorizamos. ",38
860,nao_argumento,argumentos de igualdade complementam argumentos de liberdade e provavelmente viajam juntos. ,11
861,argumento,"se eles abortarem, em seguida eles pedirão cadillacs. ",8
862,nao_argumento,você não pode escolher o tipo de voto que deseja. ,10
863,argumento,"Madre Teresa argumentou, simplesmente, 'se o aborto não está errado, nada está errado. "" ",14
864,nao_argumento,"no entanto, se for esse o caso, existem muitas pessoas maravilhosas por aí que são. ",15
865,nao_argumento,"também permitiria que as mulheres fertilizassem um óvulo de cada vez, reduzindo consideravelmente as chances de uma gravidez bem-sucedida. ",19
866,argumento,"os argumentos de igualdade se concentram na ""autonomia da mulher para determinar o curso de sua vida e, assim, gozar de igual estatura de cidadania. "" ",26
867,nao_argumento,"819 escolas de ensino fundamental e médio, 1.926 escolas de ensino médio e 1.010 faculdades e universidades usam nossa pesquisa apartidária gratuita para estimular o pensamento crítico. ",27
868,argumento,forçar uma mulher a dar à luz um filho de estuprador é mais uma tortura à vítima de um crime hediondo. ,21
869,argumento,disponibilizar contraceptivos e aborto apenas os encoraja a fazer sexo. ,10
870,nao_argumento,"os protestos foram aprovados por numerosos empregadores poloneses, incluindo donos de restaurantes, diretores de museus e galerias, reitores de várias universidades e prefeitos de algumas cidades grandes, todos permitindo que suas trabalhadoras tirassem um dia de folga. ",37
871,nao_argumento,"parece um esforço para apagar a noção de mães e pais - como se isso fosse um benefício para o progresso, como se a sociedade estivesse finalmente livre dessas velhas categorias determinísticas de homem e mulher. ",36
872,nao_argumento,esse é outro ótimo exemplo de tempo para fazer isso. ,10
873,argumento,"o que não é tolerável é tentar impor intuições irracionais a pessoas que simplesmente não as aceitam, mas que sentem que a remoção da liberdade das mulheres é um crime moral. ",31
874,nao_argumento,e você sabe quem mais tem? ,6
875,nao_argumento,ela tem a capacidade mental de uma criança de nove meses. ,11
876,nao_argumento,a manhã começa com um debate arcano e técnico que consome a maior parte do tempo de stephanie toti. ,19
877,nao_argumento,17/1/2013 - assista a sete maravilhosos filmes de estudantes sobre procon.org. ,11
878,nao_argumento,"ou, se admitirmos que um feto é um indivíduo separado com futuro de valor como o nosso, segue-se que as mulheres podem optar por matar fetos, alegando que são invasoras? ",30
879,nao_argumento,"e pró-vida responderam: “e o bebê? "" ",7
880,nao_argumento,"quando a porcentagem de entrevistados que considera o aborto crítico, muito importante ou quem rompe acordos aumenta para 30% ou mais, o equilíbrio de poder começa a mudar. ",28
881,argumento,"controle de natalidade e aborto não causam sexo, mas a realidade determina que eles estejam disponíveis para ajudar a impedir que os adolescentes se tornem pais. ",26
882,argumento,"todos os abortistas estão simplesmente ""envolvidos pelo dinheiro""? ",8
883,nao_argumento,14/06/2010 - o procon.org já foi usado por 1.267 escolas em 31 países e em todos os 50 estados dos EUA. ,21
884,argumento,"humanos não são humanos porque têm pés, mãos, andam verticalmente e falam, etc. ",13
885,argumento,"nos escritos desde o início do cristianismo até a reforma, os cristãos se posicionaram uniformemente contra o aborto, acreditando ser um ato de assassinato e merecedor do julgamento de Deus. ",30
886,argumento,"se sua vida concebe sofrimento e infelicidade, para a maioria dos americanos, pelo menos, isso é considerado uma vida ruim. ",20
887,nao_argumento,"se alguns comentários são claramente spam ou abusam do sistema de comentários, denuncie-os ao facebook. ] ",16
888,nao_argumento,A análise de 'lysaught' inclui um resumo detalhado da condição médica da mãe. ,13
889,nao_argumento,uma petição de apoio à repressão ganhou mais de 100.000 assinaturas. ,11
890,nao_argumento,"essa parte da lei está em vigor na maior parte do estado, sob ordens temporárias anteriores dos tribunais inferiores e da suprema corte, e teve o efeito de encerrar cerca de metade das clínicas existentes em 2003. ",37
891,argumento,"a ""mentalidade do aborto"" leva ao infanticídio, eutanásia e matança de pessoas retardadas e idosas. ",15
892,nao_argumento,"isso oferece à kennedy a oportunidade de acrescentar, o que é mais importante: ""isso não mostra que o teste de carga indevida é pesado contra qual é o interesse do estado? "" ",32
893,argumento,"o pai pode até querer o filho, mas ele não tem escolha se a mãe escolher o aborto. ",18
894,nao_argumento,"por exemplo, o financiamento da paternidade planejada foi discutido no controle do orçamento federal fora de controle. ",17
895,argumento,escritos históricos demonstram a oposição de longa data da igreja ao aborto. ,12
896,argumento,"embora as igrejas católica e luterana se oponham ao aborto, muitos de seus membros acreditam que o aborto deve ser legal em todos ou na maioria dos casos, contra ilegal em todo ou na maioria dos casos (51% vs. 45%, luterana; 48% vs. 45%, católica). ",45
897,nao_argumento,"a legislação proposta desencadeou vários protestos desde que foi anunciada pela primeira vez em abril, com mulheres realizando greves durante a missa e algumas até tentando gritar padres católicos que falaram a favor dela. ",34
898,argumento,"quão inconveniente é o aborto, muito mais seguro do que ter filhos, que mata 800 mulheres americanas a cada ano. ",20
899,nao_argumento,"por outro lado, somos informados de que uma criança é o que as vadias sacanas merecem por fazer sexo fora do casamento. ",22
900,argumento,"em sua forma original, o juramento proíbe a eutanásia e o aborto. ",12
901,nao_argumento,"a: uma coisa sobre mim, sou um cara muito honrado. ",10
902,nao_argumento,"Os proponentes deste projeto de lei alegam que ele proibirá apenas um único procedimento de aborto ""tardio"". ",17
903,nao_argumento,"como esperado, os outros juízes não deram indicação de apoiar a posição das clínicas. ",14
904,nao_argumento,ele é o autor de ter razão. ,7
905,nao_argumento,Ginsburg começa perguntando a Keller quantas mulheres no Texas vivem a mais de 160 quilômetros de uma clínica de aborto. ,20
906,nao_argumento,algumas mulheres solteiras escolhem o parto seguido de adoção; muitos mais escolhem a parentalidade solteira. ,15
907,nao_argumento,mas é isso que é o aborto. ,7
908,argumento,"a proposta pode ser simplesmente alterar as dimensões físicas da criança e removê-la, porque, como objeto físico, esse corpo não pode permanecer onde está sem terminar nas mortes do bebê e da mãe. ",33
909,nao_argumento,"enquanto isso, vamos nos divertir com isso. ",7
910,nao_argumento,"o gabinete do prefeito de Varsóvia disse que 24.000 postes foram às ruas da capital, agitando bandeiras negras para chamar a atenção internacional para as restrições propostas. ",27
911,nao_argumento,"'não, eu me sinto terrível. "" ",6
912,nao_argumento,estudantes pró-vida e pró-escolha se reuniram na faculdade de wellesley para realizar uma venda de remédios em benefício de uma estudante grávida que perdeu sua ajuda financeira para a moradia. ,30
913,nao_argumento,o uso de testes padronizados exigidos pelo governo federal está melhorando a educação na américa? ,15
914,nao_argumento,a luta pelo aborto é uma das várias controvérsias que afetaram a Polônia desde que o pis conquistou a maioria nas eleições gerais de outubro passado. ,26
915,nao_argumento,"Estamos entusiasmados por tantos professores, alunos e outras pessoas acharem o nosso conteúdo gratuito e imparcial tão útil. ",18
916,nao_argumento,e tenho muito orgulho em dizer que sou pró-vida. ,9
917,argumento,"Madre Teresa disse: 'Mas sinto que o maior destruidor da paz hoje é o aborto, porque é uma guerra contra a criança, um assassinato direto da criança inocente, um assassinato da própria mãe. ",33
918,argumento,"no caso 1, onde o feto é uma pessoa e você sabe disso, aborto é assassinato. ",16
919,nao_argumento,"meu colega jacob nels compartilhou comigo essa história de uma conversa que ele teve em nosso outro dia de extensão em michigan, desta vez na grand valley state university. ",29
920,nao_argumento,mas ações foram movidas devido a ações imprudentes sofridas por mulheres grávidas (http://www.leagle.com/decision/1992422136nh286_1377.xml/bonte%20v.%20bonte) - que era para uma mulher grávida atropelada por um carro enquanto faz jaywalking. ,27
921,nao_argumento,Eu queria meu bebê de volta. ,6
923,nao_argumento,"Lincoln pode ter entrado na política com um ódio apaixonado à escravidão, mas uma vez político, seus argumentos foram destilados da paixão na razão e na lei e, às vezes, até no legalismo. ",33
924,nao_argumento,então vamos olhar as frutas. ,5
925,argumento,"a verdade: sim, é assassinato! ",5
926,argumento,"de fato, o aborto anterior ao roe v. wade era proibido sem definir legalmente o nascituro como pessoas. ",18
927,nao_argumento,as histórias desta página destacam as notáveis ​​reviravoltas de quatro ex-praticantes de aborto - incluindo o médico mais responsável pela legalização do aborto nos Estados Unidos. ,26
928,nao_argumento,"para ser claro, os argumentos de igualdade não supõem que as restrições ao aborto sejam apenas sobre mulheres. ",18
929,argumento,está tão errado! ,3
930,nao_argumento,uma das principais razões pelas quais mudei [era] a esposa de um amigo meu estava grávida e ele realmente não queria o bebê. ,23
931,argumento,"e se aceitarmos que uma mãe pode matar até seu próprio filho, como podemos dizer a outras pessoas para não se matarem? ",22
932,nao_argumento,"A Universidade Pepperdine criou uma força-tarefa para apoiar mulheres grávidas, ajustando políticas para melhor atender às necessidades dos pais dos alunos e construindo moradias familiares. ",25
933,nao_argumento,faça as perguntas difíceis. ,4
934,argumento,"se o feto desenvolveu a sensação de dor, isso é uma vergonha. ",12
935,nao_argumento,o caso dred scott não é análogo ao roe v. wade. ,11
936,nao_argumento,"25 essa referência à invenciosidade pelo tribunal de Geduldig é melhor compreendida da mesma maneira que o resumo de wendy williams em geduldig usou o termo ""invidious"" - ou seja, como referência aos estereótipos tradicionais de papéis sexuais. ",38
937,argumento,"essa afirmação não é confirmada pela literatura: a grande maioria das mulheres tolera o aborto sem sequelas psiquiátricas ”, uma conclusão ecoada em revisões sistemáticas. ",25
938,argumento,"afinal, o aborto implica negar a alguém uma vida bem merecida. ",11
939,nao_argumento,"as mulheres não brancas, no entanto, têm uma taxa de aborto (56,8 por 1.000) que é o dobro da das mulheres brancas (24,3 por 1.000). ",25
940,nao_argumento,desconfio que isso seja uma mudança importante e vasta. ,9
941,nao_argumento,estudantes grávidas e pais tiveram acesso a serviços de saúde e informações amigáveis ​​no site da escola. ,17
942,nao_argumento,"a sinceridade ou consistência de sua posição pode ser questionada - isto é, de fato, o que trent está fazendo em relação aos ateus - mas não a verdade dessa posição (ou seja, não a posição em si). ",38
